商品コード,タイトル,販売価格（税抜）,販売価格（税込）,販売価格変更日
2100210398657,（ＧＲＲ）連撃竜ドラギアス,182,200,20250416
2100210398664,（ＧＲＲ）連撃竜ドラギアス,182,200,20250416
2100210398923,（ＲＲ）ＣＡＮ：Ｄ　ＬＩＶＥ,455,500,20250326
2100200933417,（ＳＲ）トラディショナル・タックス,273,300,20250528
2100218990310,（ＳＲ）ゴースト・サイクロン,273,300,20250510
2100218990419,（ＲＲ）魔導竜騎士?セブンスギアス,273,300,20250416
2100218990464,（ＲＲ）リボルバー・ドラゴン,182,200,20250716
2100219021846,（ＯＲＲ）絶望狂魔デッド・エンド,364,400,00000000
2100221483908,（ＳＲ）青き眼の秘宝,182,200,00000000
2100221483953,（ＳＲ）ソウル・ドレイク,182,200,00000000
2100222741533,（ＵＲ）アニマジカ・リーダー,182,200,20250419
2100222741557,（ＯＲＲ）冠狙楽姫トロンボウ,182,200,20250712
2100223184964,（ＳＥ）ラヴ・アンヘル,273,300,00000000
2100223184995,（ＵＲ）ストレンジ・アトラクター,182,200,20250726
2100227650991,（ＳＥ）ラヴ・スタディ,182,200,00000000
2200000354266,（ＭＲ）ミラー）アクロマの執念（モンスターボール）,182,200,20250205
2100177668404,（ＳＥ）赫焉竜グランギニョル,455,500,20250510
2100177668411,（ＳＥ）赫焉竜グランギニョル,455,500,20250510
2100176182727,オシリスの天空竜,1818,2000,20250326
2100176952399,セリオンズ“キング”レギュラス　DIFO/JP007PSE,727,800,20250625
2100180785563,（ＨＲ）ハーピィの羽根帚,2273,2500,00000000
2100183430866,（ＳＥ）赫の聖女カルテシア,1364,1500,00000000
2100184400097,（ＳＡＲ）イダイナキバｅｘ,1091,1200,20250621
2100185019533,（ＳＡＲ）テツノワダチｅｘ,455,500,20250712
2100190155530,（ＱＳＥ）聖剣を巡る王姫アンジェリカ,1364,1500,00000000
2100189369894,（ＳＡＲ）デカヌチャンｅｘ,2727,3000,20250618
2100189963047,（ＳＲ）ハヤト,364,400,00000000
2100191009948,（ＳＲ）カエデ,455,500,20250531
2100191601029,（ＳＡＲ）イダイナキバｅｘ,1091,1200,20250621
2100191615187,（ＳＡＲ）イダイナキバｅｘ,1091,1200,20250621
2100191615194,（ＳＡＲ）ディンルーｅｘ,727,800,20250326
2100192327010,（レア無）パーモットｅｘ,455,500,20250614
2100200849558,（ＳＲ）オトシドリｅｘ,273,300,00000000
2100199668079,（ＳＲ）オモダカ,455,501,00000000
2100199671796,（ＳＲ）ナナミの手助け,455,501,00000000
2100199863825,（ＳＲ）アオキ,364,400,20250611
2100203475044,（ＰＳＥ）深淵の獣ルベリオン,1091,1200,20250611
2100199967585,（ＳＲ）ライム,364,400,00000000
2100201703972,（ＳＲ）ライム,364,400,00000000
2100203626811,（ＳＲ）ブロロロームｅｘ,273,300,00000000
2100196240919,（ＳＲ）ピジョットｅｘ,455,500,20250212
2100197915816,（ＳＲ）スタンドアップ・センチュリオン！,545,600,20250329
2100196419933,（ＳＲ）オルティガ,455,501,00000000
2100192894857,（ＳＡＲ）デカヌチャンｅｘ,2727,3000,20250618
2100196440821,（ＳＡＲ）ブロロロームｅｘ,545,600,20250517
2100196648227,（ＳＡＲ）ブロロロームｅｘ,545,600,20250517
2100196724143,（ＳＲ）オルティガ,455,501,00000000
2100198888836,（ＳＲ）キハダ,1091,1200,20250604
2100193405878,（ＳＲ）ジバコイルｅｘ,273,300,00000000
2100196842311,（ＳＡＲ）ブロロロームｅｘ,545,600,20250517
2100195350237,（ＡＲ）ミュウツー,909,1000,20250709
2100199075532,（ＳＲ）ナナミの手助け,455,501,00000000
2100194114182,（ＳＲ）ダイオウドウｅｘ,273,300,00000000
2100194156519,（ＳＲ）フォレトスｅｘ,273,300,00000000
2100197727532,（ＳＲ）オモダカ,455,501,00000000
2100197730884,（ＳＡＲ）ディンルーｅｘ,727,800,20250326
2100196098909,（ＳＲ）ブロロロームｅｘ,273,300,00000000
2100207799993,（ＳＲ）リキキリンｅｘ,273,300,00000000
2100207800002,（ＳＲ）ヤドキングｅｘ,364,400,00000000
2100208535828,（ＳＲ）ストリンダーｅｘ,273,300,00000000
2100208535941,（ＳＲ）ポピー,545,600,20250510
2100208535972,（ＳＲ）スター団のしたっぱ,364,400,20250212
2100205699844,（２０ＳＥ）魔晶龍ジルドラス,909,1000,20250621
2100207218678,（ＳＡＲ）ポピー,1091,1200,20250604
2100204917802,（レア無）ラウドボーンｅｘ,455,501,00000000
2100207376125,（ＳＲ）イッカネズミｅｘ,455,500,20250312
2100205256900,（ＳＲ）ブロロロームｅｘ,273,300,00000000
2100206246535,（ＳＲ）イーユイｅｘ,273,300,00000000
2100206246580,（ＳＲ）オンバーンｅｘ,273,300,00000000
2100213046883,（Ｓ）ポッポ,273,300,00000000
2100212561653,（レア無）カイリューｅｘ,364,400,00000000
2100214037880,（ＳＲ）ネルケ,273,300,20250611
2100214037897,（ＳＲ）アオキ,364,400,20250611
2100210298933,（ＳＲ）プクリンｅｘ,273,300,00000000
2100210950473,（ＳＲ）メロコ,545,600,20250607
2100210498272,（ＳＡＲ）ポピー,1091,1200,20250604
2100211531367,（ＳＡＲ）サワロ,545,600,20250517
2100211961805,（ＵＲ）Ｎｏ．１０７　銀河眼の時空竜,1091,1200,00000000
2100210589598,（ＳＲ）ウネルミナモｅｘ,273,300,00000000
2100212103853,（ＳＲ）オモダカ,455,501,00000000
2100211961812,（ＵＲ）Ｎｏ．９７　龍影神ドラッグラビオン,545,600,20250514
2100218117274,（ＳＲ）ダイオウドウｅｘ,273,300,00000000
2100218730077,（ＵＲ）スターダスト・ヴルム,1091,1200,00000000
2100218236180,（ＳＲ）ガチグマアカツキｅｘ,364,400,20250402
2100218961525,（ＳＲ）オルティガ,455,501,00000000
2100218359339,（ＭＲ）ミラー仕様）ピジョット（マスターボール柄）,1091,1200,00000000
2100216823917,（ＳＡＲ）イイネイヌｅｘ,1091,1200,20250611
2100215820955,（ＱＳＥ）マジシャンズ・サルベーション,1364,1500,20250726
2100215180554,（ＳＲ）グソクムシャｅｘ,273,300,00000000
2100215180578,（ＳＳＲ）リザードンＶ,13636,15000,20250618
2100216008697,（ＳＲ）セイジ,545,600,20250312
2100216858841,（Ｓ）ネイティオ,455,500,20250212
2100216859244,（ＡＲ）オベリスクの巨神兵,1818,2000,20250326
2100220782323,（ＱＳＥ）スモール・ワールド,909,1000,20250326
2100221920366,（ＳＲ）ビークインｅｘ,273,300,00000000
2100221602200,（ＳＡＲ）ネルケ,727,800,20250517
2100221602224,（ＳＲ）イッカネズミｅｘ,455,500,20250312
2100219049437,（ＳＲ）タケルライコｅｘ,727,800,20250611
2100220421994,（ＵＲ）ミライドンｅｘ,2273,2500,20250618
2100220456453,（ＱＳＥ）ライトロード・アテナ　ミネルバ,1091,1200,20250726
2100219308985,（ＵＲ）Ｎｏ．９７　龍影神ドラッグラビオン,545,600,20250514
2100220781623,（２０ＳＥ）機巧蹄?天迦久御雷,909,1000,20250510
2100219958883,（ＳＲ）カエデ,455,500,20250531
2100219958951,（ＳＲ）サンダーｅｘ,545,600,20250212
2100219959040,（ＭＲ）ミラー仕様）古びたひみつのコハク（マスターボール柄）,273,300,00000000
2100223899394,（ＳＥ）封印されし者の左足,1091,1200,00000000
2100223578442,（ＳＲ）センリ,364,400,20250611
2100223588380,（ＳＲ）サンダーｅｘ,545,600,20250212
2100223664169,（ＳＡＲ）モモワロウｅｘ,1364,1500,20250614
2100224485251,（ＳＲ）グルーシャ,727,800,20250709
2100224188190,（ＳＲ）ドクロッグｅｘ,273,300,00000000
2100224485350,（ＳＲ）プクリンｅｘ,273,300,00000000
2100224485640,（ＳＲ）ナナミの手助け,455,501,00000000
2100222687930,（ＳＳＲ）リククラゲｅｘ,182,200,00000000
2100222687947,（ＳＲ）ビークインｅｘ,273,300,00000000
2100222687961,（ＳＲ）ワナイダーｅｘ,273,300,00000000
2100222509201,（ＳＲ）テツノワダチｅｘ,273,300,00000000
2100223111267,（ＱＳＥ）刻まれし魔の鎮魂棺,3636,4000,20250618
2100225980991,（ＳＳＲ）ピジョットｅｘ,273,300,20250212
2100226230699,（ＳＲ）テツノカイナｅｘ,455,500,20250614
2100226230729,（ＳＲ）パフュートンｅｘ,273,300,00000000
2100225675941,（ＳＲ）アーボックｅｘ,364,400,20250222
2100227891820,（ＳＲ）テツノカイナｅｘ,455,500,20250614
2100227258838,（ＳＲ）シキミ,545,600,20250517
2100227070607,（ＳＲ）ミカンのまなざし,727,800,20250528
2100229736549,（ＭＲ）ミラー）フカマル（マスターボール）,545,600,20250514
2100230071042,（ＳＡＲ）ピーニャ,727,800,20250326
2100230302788,（ＭＲ）ミラー）ヒンバス（マスターボール）,545,600,20250514
2100230187408,（ＭＲ）ミラー）オーダイル（マスターボール）,1091,1200,20250319
2100229882758,（ＭＲ）ミラー）トドロクツキ（マスターボール）,545,600,20250514
2100229175065,（ＭＲ）ミラー）アズマオウ（マスターボール）,545,600,20250514
2100229630601,（ＭＲ）ミラー）ディンルー（マスターボール）,545,600,20250514
2100229435107,（ＭＲ）ミラー）ワニノコ（マスターボール）,1091,1200,20250319
2100229055695,（ＳＡＲ）オーガポンかまどのめんｅｘ,455,500,20250712
2100231311253,（ＳＲ）ウネルミナモｅｘ,273,300,00000000
2100230624231,（ＳＡＲ）スナノケガワｅｘ,727,800,20250326
2100230624309,（ＳＲ）ユキメノコｅｘ,273,300,00000000
2100230696719,（ＡＣＥ）プライムキャッチャー,182,200,20250402
2100230696733,（ＳＡＲ）モモワロウｅｘ,455,500,20250712
2100230696740,（ＳＡＲ）テツノカシラｅｘ,455,500,20250712
2100230696764,（ＭＲ）ミラー）パオジアン（マスターボール）,545,600,20250514
2100232208279,（ＭＲ）ミラー）チオンジェン（マスターボール）,545,600,20250514
2100232208361,（ＵＲ）パオジアンｅｘ,545,600,20250326
2100232219909,（ＳＲ）クラベル,364,400,00000000
2100232220004,（ＳＲ）ダイオウドウｅｘ,273,300,00000000
2100231809712,（ＳＡＲ）テツノカイナｅｘ,455,500,20250312
2100231809736,（ＳＡＲ）タロ,1091,1200,20250514
2100231988325,（ＵＲ）パオジアンｅｘ,545,600,20250326
2100231988493,（ＭＲ）ミラー仕様）ライチュウ（マスターボール柄）,1818,2000,20250326
2100232713124,（ＳＲ）ゴヨウ,273,300,00000000
2100232713131,（ＳＲ）ブリガロンＶ,273,300,00000000
2100232620651,（ＵＲ）テツノイサハｅｘ,545,600,20250802
2100232620675,（ＭＲ）ミラー）ゴージャスマント（モンスターボール）,182,200,20250618
2100232660916,（ＳＲ）セイジ,545,600,20250312
2100232660954,（ＵＲ）コライドンｅｘ,728,801,00000000
2200000369116,（ＳＡＲ）イキリンコｅｘ,3636,4000,20250604
2200000369208,（ＳＲ）ポピー,545,600,20250510
2100184689799,ゴーラッシュデッキ ジョインテック・アタック,460,506,00000000
2200000415943,（ＭＲ）ミラー）カミッチュ（マスターボール）,545,600,20250514
2200000423542,（ＭＲ）ミラー）ナミイルカ（マスターボール）,545,600,20250514
2200000427670,（レア無）ペパー,364,400,20250208
2200000427687,（ＭＲ）ミラー）グラードン（マスターボール）,727,800,20250514
2200000432780,（ＳＲ）ジャッジマン,273,300,20250209
2200000432834,（ＳＲ）テツノイワオｅｘ,273,300,20250209
2200000432971,（ＡＲ）ポッポ,273,300,20250531
2200000514950,（ＳＲ）リザードンＶ,2727,3000,20250211
2200000515001,（ＳＡＲ）スグリ,1091,1200,20250802
2200000537911,（ＳＲ）煉獄邪神Ｍ・Ｒ・Ｃ・ロマノフ,364,400,20250618
2200000546357,（ＳＳＲ）イダイナキバｅｘ,182,200,20250212
2200000579393,（ＡＲ）ビブラーバ,182,200,20250625
2100163809002,魔導管理室　カリヤドネ／ハーミット・サークル,364,400,00000000
2100170713880,背景黒）ドドド・ドーピードープ,437,481,00000000
2100170714023,ボルシャック・ドギラゴン,455,500,20250326
2100170714153,モノクロ）バレット・ザ・シルバー,255,281,00000000
2100170692826,偽りの王　ヴィルヘルム,455,500,20250412
2100171379511,“魔神轟怒”万軍投,727,800,20250326
2100170727269,Ｕ・Ｓ・Ａ・ＣＡＰＴＥＥＥＮ,255,281,00000000
2100170727276,グッドルッキン・ブラボー,255,281,00000000
2100170727917,界王類七動目　ジュランネル,545,600,20250716
2100170727924,超神龍バイラス・カースド,273,300,20250625
2100170728006,ライフプラン・Ｒｅ：チャージャー,109,120,20250716
2100170894985,せんすいカンちゃん,273,300,20250412
2100172659711,天地命動　バラギアラ／輪廻暴聖,255,281,00000000
2100172659865,邪眼教皇ロマノフ2世,273,300,20250412
2100172660205,大魔王　ウラギリダムス,364,400,00000000
2100174154283,サッヴァーク?ＭＡＸ,273,300,00000000
2100173957960,神帝英雄　ゴッド・モモキング,182,200,20250409
2100173958042,全能ゼンノー,545,600,20250709
2100175357430,次元の嵐　スコーラー　DM22RP1TR3/TR10,1364,1500,20250705
2100176119952,霞み妖精ジャスミン,182,200,00000000
2100176120347,覇王る侵略　ドレッドゾーン　DMEX064/98,273,300,00000000
2100175553405,卍　ギ・ルーギリン　卍／卍獄ブレイン,346,381,00000000
2100176119341,悪魔龍　ダークマスターズ　DMEX101/42,545,600,20250416
2100176119792,天地命動　バラギアラ／輪廻暴炎,255,281,00000000
2100177457183,（ＳＥＣ）モノクロ）キングダム・オウ禍武斗／轟破天九十九語　,437,481,00000000
2100176670446,“魔神轟怒”万軍投　DMEX07M9/M12,727,800,20250326
2100180786584,（ＳＲ）百万面相　トカゲ丸,182,200,20250412
2100182736488,（ＳＲ）Ｔｈｅ邪悪　奇成ギョウ,545,600,20250712
2100181828696,（ＭＡＳ）背景黒）煌銀河　サヴァクティス,255,281,00000000
2100181828733,（ＳＥＣ）モノクロ）Ｑ．Ｑ．ＱＸ．／終葬　５．Ｓ．Ｄ．,528,581,00000000
2100181928600,（ＳＲ）超次元の王家,545,600,20250531
2100182014661,（Ｕ）Ａ）地龍神の魔陣,455,501,00000000
2100182736495,（ＶＲ）怒流牙　サイゾウミスト,455,500,20250326
2100202255104,（ＳＲ）知識の破壊者デストルツィオーネ,364,400,00000000
2100200819858,（Ｒ）テック団の波壊Ｇｏ！,455,500,20250625
2100199168432,（レア無）終の怒流牙　ドルゲユキムラ,727,800,20250402
2100201849991,（ＫＧＭ）鬼ヶ覇王　ジャオウガ,255,281,00000000
2100201850010,（ＶＩＣ）紅蓮の怒　鬼流院　刃,255,281,00000000
2100201850232,（ＶＲ）龍世界　?龍の降臨する地?,182,200,00000000
2100201850263,（ＳＲ）ボルシャック・クロス・ＮＥＸ／ボルシャック英雄譚,182,200,20250416
2100188182784,（ＳＲ）英知と追撃の宝剣,455,500,20250322
2100188182791,（ＳＲ）灼熱連鎖　テスタ・ロッサ,273,300,00000000
2100188182968,（レア無）大地と悪魔の神域,480,528,00000000
2100191941170,（ＶＲ）超神龍ダーク・オブ・ザ・ルナー,273,300,00000000
2100194681202,（Ｒ）箔押し）Ｔ・Ｔ・Ｔ,727,800,20250326
2100188429643,（ＳＥＣ）伝説の禁断　ドキンダムＸ／禁断?封印されしＸ?,728,801,00000000
2100193021498,（ＬＥＧ）蒼き団長　ドギラゴン剣,364,400,00000000
2100195843265,（ＳＲ）龍素記号ｗＤ　サイクルペディア,545,600,20250510
2100210344302,（ＭＡＳ）天地命動　バラギアラ／輪廻暴冥,346,381,00000000
2100210625173,（ＳＲ）最凶の覚醒者デビル・ディアボロスＺ／時空の支配者ディ,255,281,00000000
2100210625289,（ＳＲ）超覚醒ラスト・ストームＸＸ／超時空ストームＧ・ＸＸ,255,281,00000000
2100208145973,（ＳＲ）絶望と反魂と滅殺の決断,545,600,20250319
2100209834579,（ＳＲ）インフェル龍樹,364,400,00000000
2100209834623,（ＶＲ）悪魔龍　ダークマスターズ,727,800,20250405
2100218723567,（ＳＲ）絶望と反魂と滅殺の決断,545,600,20250319
2100220186190,（ＳＲ）メガ・マグマ・ドラゴン,182,200,00000000
2100217233852,（ＳＡＲ）ミモザ,22727,25000,20250618
2100218433190,（ＳＲ）「無月」の頂　＄スザーク＄,727,800,20250319
2100218433213,（ＶＩＣ）勝利の覇闘　ガイラオウ／覇闘将龍剣　ガイオウバーン,255,281,00000000
2100218433220,（レア無）爆炎覇龍　ガイフレア／爆炎大剣　ガイサーガ,727,800,20250326
2100222651559,（ＨＲ）はくばバドレックスＶＭＡＸ,,,20250618
2100228251579,（ＳＲ）呪烏竜　ＡＣＥ?Ｃｕｒａｓｅ,364,400,20250712
2100227379953,（ＬＥＧ）禁断機関　ＶＶ?８,255,281,00000000
2100226813120,（Ｒ）歌舞音愛　ヒメカット／♪蛙の子　遭えるの何処？　好きと,364,400,20250604
2100225804464,（ＳＲ）カルネ,13636,15000,20250319
2100231388903,（レア無）暴嵐竜Ｓｕｓａｎｏ?Ｏ?Ｄｒａｇｏｎ,182,200,20250716
2100231388965,（Ｒ）コレンココ・タンク／ボント・プラントボ,273,300,20250716
2200000610737,（ＨＲ）ヒスイゾロアークＶＳＴＡＲ,727,800,20250326
2200000610775,（ＨＲ）ヒスイゾロアークＶＳＴＡＲ,727,800,20250326
2200000610799,（ＳＲ）ブランシェ,273,300,20250214
2200000610829,（ＡＲ）ミガルーサ,182,200,20250510
2200000613691,（ＳＡＲ）スグリ,1091,1200,20250802
2200000617453,（ＳＲ）終末縫合王　ザ＝キラー・キーナリー,909,1000,20250806
2200000655400,（ＯＲＲ）夢中のシルビクス,1364,1500,20250611
2200000680778,（ＡＣＥ）プライムキャッチャー,182,200,20250402
2200000680839,（ＳＡＲ）タロ,1091,1200,20250514
2200000698698,（ＳＲ）グレンアルマｅｘ,364,400,20250419
2200000710024,（ＭＲ）ミラー）サケブシッポ（マスターボール）,727,800,20250312
2200000736062,（レア無）Ｒ仕様）ネイティオ,182,200,20250218
2200000736154,（ＵＲ）テツノカシラｅｘ,455,500,20250326
2200000755117,（ＳＲ）キハダ,1091,1200,20250604
2200000755124,（ＳＲ）キハダ,1091,1200,20250604
2200000774866,（Ｒ）天威龍?ヴィシュダ,182,200,20250305
2200000774873,（Ｒ）天威龍?アシュナ,182,200,20250726
2200000774880,（ＵＲ）ＳＮｏ．３９　希望皇ホープ・ザ・ライトニング,182,200,20250219
2200000793034,（ＳＳＲ）クエスパトラｅｘ,182,200,20250219
2200000793041,（ＳＳＲ）イダイナキバｅｘ,182,200,20250219
2200000793065,（ＡＲ）ニャビー,273,300,20250319
2200000793119,（Ｓ）アチゲータ,182,200,20250219
2200000793126,（Ｓ）カルボウ,182,200,20250219
2200000793133,（Ｓ）カルボウ,182,200,20250219
2200000793164,（Ｓ）デカヌチャン,182,200,20250219
2200000793171,（Ｓ）ルカリオ,182,200,20250219
2200000793270,（Ｓ）ブロロローム,182,200,20250219
2200000793485,（レア無）イーブイ＆カビゴンＧＸ,18182,20000,20250524
2200000793706,（ＡＣＥ）プライムキャッチャー,182,200,20250402
2200000810120,（ＡＲ）カヌチャン,273,300,20250301
2200000812148,（ＳＲ）シロナの覇気,2727,3000,20250604
2200000852274,（ＳＲ）ボタン,1364,1500,20250604
2200000852281,（ＳＲ）ボタン,1364,1500,20250604
2100203760331,（ＳＲ）ゼラオラＶ,9091,10000,20250611
2100217356124,（レア無）ピカチュウ,,,20250730
2200000905239,（ＡＲ）ラビフット,273,300,20250702
2200000910752,（ＳＲ）ブランシェ,273,300,20250222
2200000910790,（ＳＲ）グルーシャ,727,800,20250709
2200000910813,（ＳＲ）オモダカ,455,500,20250222
2200000911094,（ＳＲ）バーネット博士,545,600,20250315
2200000911261,（ＳＡＲ）ポピー,1091,1200,20250604
2200000911278,（ＳＲ）ハヤト,364,400,20250222
2200000911315,（ＳＲ）アオキ,364,400,20250611
2200000911322,（ＳＲ）アオキ,364,400,20250611
2200000911353,（ＳＲ）ビワ,1091,1200,20250409
2200000911360,（ＳＲ）バーネット博士,545,600,20250315
2200000911469,（ＡＲ）ミルタンク,182,200,20250806
2200000911735,（ＳＲ）ボルシャック・ヴォルジャアク,455,500,20250326
2200000911742,（ＳＲ）ボルシャック・ヴォルジャアク,455,500,20250326
2200000912534,（ＳＲ）漆黒の深淵　ジャシン帝,455,500,20250416
2200000912565,（ＶＲ）星門の精霊アケルナル／スターゲイズ・ゲート,455,500,20250322
2200000912640,（Ｒ）Ｔ・Ｔ・Ｔ,273,300,20250409
2200000912800,（ＶＲ）百威と族絆の決断,182,200,20250222
2200000913340,（ＶＲ）超光喜　エルボロム,273,300,20250712
2200000913395,（Ｕ）シャングリラ・クリスタル,273,300,20250222
2200000994851,（ＭＲ）ミラー）ヨノワール（モンスターボール）,182,200,20250705
2200000994868,（ＭＲ）ミラー）サマヨール（モンスターボール）,273,300,20250224
2200000994875,（ＳＲ）テツノイバラｅｘ,455,500,20250517
2200000994899,（ＳＲ）ペパー,1818,2000,20250524
2200000994905,（ＳＲ）アオキの手際,273,300,20250604
2200000999184,（レア無）Ｒ仕様）ネイティオ,182,200,20250224
2200001019416,（ＨＲ）アンノーンＶＳＴＡＲ,727,800,20250618
2200001019423,（ＡＲ）イッカネズミ,455,500,20250723
2200001019539,（ＲＲ）ゲンガーｅｘ,182,200,20250524
2200001019546,（ＡＲ）ライチュウ,545,600,20250726
2200001019553,（Ｓ）ヤミカラス,228,251,20250224
2200001019560,（ＳＲ）テツノカイナｅｘ,455,500,20250614
2200001019584,（Ｓ）ブロロローム,182,200,20250224
2200001019591,（Ｓ）デカヌチャン,182,200,20250224
2200001019607,（ＳＡＲ）タケルライコｅｘ,5455,6000,20250604
2200001019614,（ＳＲ）サワロ,273,300,20250611
2200001019621,（ＳＳＲ）マスカーニャｅｘ,273,300,20250224
2200001019652,（ＳＲ）リザードンｅｘ,1818,2000,20250531
2200001019669,（ＵＲ）テツノイサハｅｘ,455,500,20250326
2200001019676,（ＵＲ）リザードンｅｘ,7273,8000,20250705
2200001019690,（ＵＲ）ミュウｅｘ,3636,4000,20250806
2200001019713,（ＳＳＲ）キラフロルｅｘ,182,200,20250224
2200001044395,（ＡＲ）パーモット,273,300,20250503
2200001044418,（ＳＲ）カエデ,455,500,20250531
2200001044449,（ＵＲ）リザードンｅｘ,7273,8000,20250705
2200001072527,（ＳＥ）ダイノルフィア・レクスターム,273,300,20250705
2200001072541,（ＵＲ）カイザー・シースネーク,364,400,20250514
2200001072558,（ＳＥ）相剣師?莫邪,273,300,20250806
2200001072565,（ＳＥ）ティアラメンツ・シェイレーン,727,800,20250326
2200001072572,（ＳＥ）ティアラメンツ・シェイレーン,727,800,20250326
2200001072589,（ＳＥ）ダイノルフィア・テリジア,455,500,20250326
2200001072602,（ＳＥ）ダイノルフィア・テリジア,455,500,20250326
2200001072619,（ＳＥ）相剣師?莫邪,273,300,20250806
2200001072626,（ＳＥ）相剣師?莫邪,273,300,20250806
2200001072633,（ＳＥ）ティアラメンツ・シェイレーン,727,800,20250326
2200001072640,（ＳＥ）真竜皇バハルストスＦ,455,500,20250326
2200001072664,（ＳＥ）ダイノルフィア・レクスターム,273,300,20250705
2200001072671,（ＳＲ）真竜皇バハルストスＦ,182,200,20250225
2200001072688,（ＳＲ）真竜皇バハルストスＦ,182,200,20250225
2200001072695,（ＳＲ）ティアラメンツ・シェイレーン,182,200,20250225
2200001072701,（ＳＲ）ティアラメンツ・シェイレーン,182,200,20250225
2200001072718,（ＳＲ）ティアラメンツ・シェイレーン,182,200,20250225
2200001072725,（ＵＲ）天狼王ブルー・セイリオス,255,281,20250225
2200001072749,（ＵＲ）天狼王ブルー・セイリオス,255,281,20250225
2200001072787,（ＳＥ）真竜皇バハルストスＦ,455,500,20250326
2200001072794,（ＳＲ）真竜皇バハルストスＦ,182,200,20250225
2100162753344,ＶＷＸＹＺ?ドラゴン・カタパルトキャノン,950,1045,00000000
2100164198624,サイバー・Ｋ・ウォズレック／ウォズレックの審問,182,200,00000000
2100169064863,スターダスト・シンクロン,2727,3000,20250730
2100169948552,ブラッド・ローズ・ドラゴン,909,1000,20250326
2100171682192,モノクロ）ジョリー・ザ・ジョニー　Ｊｏｅ,182,200,00000000
2100174580792,青眼の亜白龍,364,400,20250716
2100178701254,（ＡＲ）スカーレッド・ノヴァ・ドラゴン,1091,1200,00000000
2100181904970,（ＳＲ）博士の研究,2727,3000,20250428
2100187203350,（ＶＲ）サイバー・Ｋ・ウォズレック／ウォズレックの審問,182,200,00000000
2100187207563,（ＳＲ）ヨシダ警部補,2727,3000,20250628
2100187254734,（ＬＥＧ）蒼き団長　ドギラゴン剣,364,400,00000000
2100186309220,（ＨＲ）ダークライＧＸ,27273,30000,20250604
2100186702076,（ＳＥＣ）デフォルメ）燃える革命　ドギラゴン,273,300,20250430
2100186702335,（ＳＥＣ）デフォルメ）蒼き団長　ドギラゴン剣,546,601,00000000
2100187792564,（ＳＡＲ）スイクンＶ,2727,3000,20250611
2100189163386,（ＳＲ）ニンフィアＶ,22727,25000,20250409
2100190368404,（ＳＲ）サナ,10909,12000,20250531
2100191114895,（ＳＲ）ボスの指令,1364,1500,20250730
2100191508427,（ＳＲ）カスミ＆カンナ,31818,,20250604
2100192524327,（ＡＲ）シューティング・スター・ドラゴン,1364,1500,20250430
2100193542306,（ＳＥ）赫聖の妖騎士,364,400,20250521
2100194409240,（ＳＲ）ハーピィ・レディ１,182,200,20250312
2100194564697,（ＳＡＲ）サンダーｅｘ,10909,12000,20250618
2100194717598,（ＵＲ）赤き竜,545,600,20250712
2100195005526,（ＳＲ）ボタン,1364,1500,20250604
2100195103406,（ＵＲ）ミュウｅｘ,3636,4000,20250806
2100195510129,（ＶＲ）インフェル星樹,455,500,20250719
2100195535405,（ＳＡＲ）スイクンＶ,2727,3000,20250611
2100204094657,（ＳＡＲ）ナタネの活気,1364,1500,20250604
2100204103984,（ＳＡＲ）ボタン,1818,2000,20250604
2100205821863,（ＳＡＲ）リップ,1818,2000,20250604
2100207690757,（ＳＡＲ）ベルのまごころ,9091,10000,20250716
2100207762652,（ＳＲ）こくばバドレックスＶ,3636,4000,20250604
2100204244090,（ＳＥＰＡ）精霊獣使い　ウィンダ,2273,2500,00000000
2100206040850,（ＳＡＲ）リップ,1818,2000,20250604
2100207839118,（ＵＲ）ギラティナＶＳＴＡＲ,2727,3000,20250604
2100207846956,（ＳＥ）共命の翼ガルーラ,1818,2000,20250611
2100209452247,（ＳＡＲ）グルーシャ,3636,4000,20250611
2100209464929,（ＱＳＥ）軌跡の魔術師,545,600,20250705
2100208036868,（ＱＳＥ）蛇眼の大炎魔,909,1000,20250326
2100210068062,（ＳＡＲ）マツバの確信,3636,4000,20250604
2100204688924,（ＳＡＲ）ポピー,1091,1200,20250604
2100204688931,（ＳＡＲ）ボタン,2273,2500,20250604
2100206450086,（ＳＲ）リザードンｅｘ,1818,2000,20250531
2100208204939,（ＳＲ）チリ,1091,1200,20250604
2100210132183,（ＳＥ）オシリスの天空竜,1818,2000,20250326
2100205277530,（ＳＡＲ）ナタネの活気,1364,1500,20250604
2100210161206,（ＳＡＲ）グルーシャ,3636,4000,20250611
2100208578863,（ＳＡＲ）リザードンＶＳＴＡＲ,7273,8000,20250614
2100208620982,（ＭＲ）ミラー仕様）シャワーズ（マスターボール柄）,3636,4000,20250604
2100208811250,（ＡＲ）ユベル,2727,3000,20250326
2100196140691,（ＳＳＲ）ハッサムＧＸ,2727,3000,20250326
2100196166769,（ＣＳＲ）レックウザＶＭＡＸ,9091,10000,20250730
2100196339620,（ＳＲ）ボスの指令,1364,1500,20250730
2100196339859,（ＳＲ）アスナ,2727,3000,20250517
2100196350052,（Ｃ）ボルシャック・栄光・ルピア,182,200,00000000
2100196293441,（ＳＥ）オオヒメの御巫,727,800,20250618
2100202209817,（ＳＲ）ハーピィ三姉妹,182,200,20250514
